Model,Class,Precision,Recall,F1,Support
SVM,Very Low,0.8121546961325967,0.8258426966292135,0.8189415041782729,178.0
SVM,Low,0.828042328042328,0.9046242774566474,0.8646408839779005,346.0
SVM,Medium,0.7792207792207793,0.5357142857142857,0.6349206349206349,112.0
RandomForest,Very Low,0.888268156424581,0.8932584269662921,0.8907563025210085,178.0
RandomForest,Low,0.8638743455497382,0.953757225433526,0.9065934065934066,346.0
RandomForest,Medium,0.9333333333333333,0.625,0.7486631016042781,112.0
XGBoost,Very Low,0.9162011173184358,0.9213483146067416,0.9187675070028011,178.0
XGBoost,Low,0.90633608815427,0.9508670520231214,0.9280677009873061,346.0
XGBoost,Medium,0.8829787234042553,0.7410714285714286,0.8058252427184466,112.0
DNN,Very Low,0.8208092485549133,0.797752808988764,0.8091168091168092,178.0
DNN,Low,0.8051282051282052,0.9075144508670521,0.8532608695652174,346.0
DNN,Medium,0.7534246575342466,0.49107142857142855,0.5945945945945946,112.0
CNN,Very Low,0.9213483146067416,0.9213483146067416,0.9213483146067416,178.0
CNN,Low,0.905982905982906,0.9190751445086706,0.9124820659971306,346.0
CNN,Medium,0.822429906542056,0.7857142857142857,0.8036529680365296,112.0
LSTM,Very Low,0.8481012658227848,0.37640449438202245,0.5214007782101168,178.0
LSTM,Low,0.655511811023622,0.9624277456647399,0.7798594847775175,346.0
LSTM,Medium,0.8979591836734694,0.39285714285714285,0.546583850931677,112.0
ResNet,Very Low,0.9234972677595629,0.949438202247191,0.9362880886426593,178.0
ResNet,Low,0.9505813953488372,0.9450867052023122,0.9478260869565217,346.0
ResNet,Medium,0.944954128440367,0.9196428571428571,0.9321266968325792,112.0
GRU,Very Low,0.9157303370786517,0.9157303370786517,0.9157303370786517,178.0
GRU,Low,0.9367816091954023,0.9421965317919075,0.9394812680115274,346.0
GRU,Medium,0.9,0.8839285714285714,0.8918918918918919,112.0
